"timestamp","container","test_type","model","run","verdict","turns_taken","input_tokens","output_tokens","total_tokens","llm_seconds"
"2026-05-02T20:31:49+00:00","commonslang1163e17testReflectionHashCodeExcludeFields","id","claude","run 1","INCOMPLETE","1","0","0","0","0.0"
"2026-05-02T20:31:49+00:00","commonslang1163e17testReflectionHashCodeExcludeFields","id","claude","run 2","INCOMPLETE","1","0","0","0","0.0"
"2026-05-02T20:31:49+00:00","commonslang1163e17testReflectionHashCodeExcludeFields","id","openai","run 1","INCOMPLETE","1","0","0","0","0.0"
"2026-05-02T20:31:49+00:00","commonslang1163e17testReflectionHashCodeExcludeFields","id","openai","run 2","INCOMPLETE","1","0","0","0","0.0"
"2026-05-02T20:49:22+00:00","commonslang1163e17testReflectionHashCodeExcludeFields","id","claude","run 1","PASSED","2","19743","9262","29005","89.9"
"2026-05-02T20:49:22+00:00","commonslang1163e17testReflectionHashCodeExcludeFields","id","claude","run 2","PASSED","2","20178","4342","24520","47.9"
"2026-05-02T20:49:22+00:00","commonslang1163e17testReflectionHashCodeExcludeFields","id","openai","run 1","FAILED","2","13390","951","14341","11.4"
"2026-05-02T20:49:22+00:00","commonslang1163e17testReflectionHashCodeExcludeFields","id","openai","run 2","FAILED","2","13396","772","14168","9.7"
"2026-05-02T21:04:41+00:00","feignmock17735a3shouldPrintHeaders","id","claude","run 1","FAILED","2","13145","2160","15305","28.3"
"2026-05-02T21:04:41+00:00","feignmock17735a3shouldPrintHeaders","id","claude","run 2","FAILED","1","5973","898","6871","15.6"
"2026-05-02T21:04:41+00:00","feignmock17735a3shouldPrintHeaders","id","openai","run 1","FAILED","2","10432","757","11189","6.1"
"2026-05-02T21:04:41+00:00","feignmock17735a3shouldPrintHeaders","id","openai","run 2","FAILED","2","10414","588","11002","4.6"
"2026-05-02T21:17:31+00:00","jsonschemacore7dbae50multipleSchemaDepViolation","id","claude","run 1","PASSED","1","8101","2186","10287","28.0"
"2026-05-02T21:17:31+00:00","jsonschemacore7dbae50multipleSchemaDepViolation","id","claude","run 2","PASSED","1","8101","2039","10140","26.1"
"2026-05-02T21:17:31+00:00","jsonschemacore7dbae50multipleSchemaDepViolation","id","openai","run 1","FAILED","2","13637","941","14578","11.4"
"2026-05-02T21:17:31+00:00","jsonschemacore7dbae50multipleSchemaDepViolation","id","openai","run 2","FAILED","2","13637","941","14578","11.4"
"2026-05-02T21:40:59+00:00","pinotpinotspiab22358testGetPluginsToLoad","id","claude","run 1","FAILED","1","9575","1891","11466","25.8"
"2026-05-02T21:40:59+00:00","pinotpinotspiab22358testGetPluginsToLoad","id","claude","run 2","FAILED","1","10097","2062","12159","27.6"
